"s.no","helpfulVoteCount","rating","reviewPosition","verifiedPurchase","sentiment_score","Membership_Years_x","Availability_Code","Age","Membership_Years_y","Login_Frequency","Session_Duration_Avg","Pages_Per_Session","Cart_Abandonment_Rate","Wishlist_Items","Total_Purchases","Average_Order_Value","Days_Since_Last_Purchase","Discount_Usage_Rate","Returns_Rate","Email_Open_Rate","Customer_Service_Calls","Product_Reviews_Written","Social_Media_Engagement_Score","Mobile_App_Usage","Payment_Method_Diversity","Lifetime_Value","Credit_Balance","Churned","Gender","Sentiment_Label"
"42","0","5.0","5","True","0.545833333","1.4","0","36","1.4","0.0","33.0","5.1","75.1","4","6.0","199.48","43","47.8","2.1","11.6","6","1","23.9","19.9","3","1133.62","1416","0","Male","Positive"
"44","2","3.0","7","True","0.324615385","5.0","2","20","5.0","24.0","56.2","14.5","22.7","9","19.0","66.29","66","15.3","8.2","30.4","2","5","62.5","33.0","1","1339.58","4461","1","Male","Positive"
"45","5","5.0","8","True","0.184090909","4.4","2","29","4.4","14.0","22.7","8.6","35.2","5","14.0","121.7","1","9.3","8.3","3.4","5","4","35.0","24.3","3","1851.75","1098","0","Female","Positive"
"46","0","5.0","9","True","0.45","0.5","0","32","0.5","15.0","28.0","8.0","55.4","4","14.3","107.02","91","33.84","8.7","11.0","3","2","16.3","25.6","3","1399.19","2618","0","male","Positive"
"49","0","5.0","2","True","0.34375","0.4","0","18","0.4","14.0","35.9","13.2","51.9","5","16.0","169.79","22","26.7","4.4","38.9","4","3","41.0","28.2","3","3156.4","2965","1","Male","Positive"
"59","0","5.0","2","False","0.220732601","2.1","1","49","2.1","18.0","46.9","14.9","45.4","9","29.9","51.36","3","22.08","1.3","22.9","6","2","25.2","25.6","2","1156.03","2612","0","Male","Positive"
"62","0","5.0","5","False","0.308484848","3.2","2","24","3.2","3.0","22.4","8.3","73.5","5","10.4","103.77","17","34.92","4.9","9.3","4","1","0.2","12.3","1","984.68","2218","0","Male","Positive"
"63","0","5.0","6","False","0.256547619","0.3","0","23","0.3","26.0","36.7","8.3","46.5","9","14.0","82.7","20","60.5","3.4","35.2","4","3","53.7","32.2","3","959.75","3218","0","Male","Positive"
"65","0","5.0","8","False","0.603516484","4.0","2","54","4.0","20.0","37.4","15.3","56.9","7","22.0","152.76","12","32.3","0.3","30.0","3","9","33.9","36.4","2","2721.55","4435","0","Female","Positive"
"66","0","4.0","9","False","0.311607143","3.8","2","37","3.8","6.0","32.8","10.5","51.2","7","13.0","119.3","6","16.9","16.6","8.8","7","4","48.4","10.9","1","1333.02","1","0","Male","Positive"
"74","0","5.0","7","True","0.7","0.7","0","18","0.7","7.0","23.7","6.6","48.1","6","11.0","83.69","10","27.2","6.9","8.9","11","4","44.2","20.3","1","874.59","2660","1","Male","Positive"
"75","0","3.0","8","True","0.053571429","0.9","0","47","0.9","5.0","11.2","1.0","63.2","0","5.0","171.12","36","36.6","1.0","0.0","3","0","16.4","4.0","2","716.0","1903","1","Male","Neutral"
"76","0","4.0","9","True","0.6","9.3","2","39","9.3","12.0","23.5","9.5","78.3","6","10.0","63.25","3","35.8","2.7","31.4","5","4","23.2","21.8","2","636.69","1636","0","Male","Positive"
"78","0","5.0","1","True","0.358367347","0.9","0","39","0.9","17.0","39.1","11.2","30.7","9","18.0","133.43","32","61.8","3.1","23.9","3","7","39.1","36.7","2","2162.26","2526","0","Male","Positive"
"80","0","5.0","3","True","0.7","1.3","0","35","1.3","12.0","27.0","9.3","61.3","3","6.0","49.46","43","75.6","5.3","0.0","3","0","27.1","18.7","2","261.59","829","0","Female","Positive"
"81","0","5.0","4","True","0.35","1.6","1","42","1.6","2.0","13.8","9.2","61.8","2","7.0","70.73","6","32.1","2.9","32.6","8","0","38.0","16.8","3","441.47","2199","0","Male","Positive"
"82","0","5.0","5","True","0.341666667","5.3","2","55","5.3","18.0","42.1","9.5","62.0","8","24.7","108.17","74","61.92","1.9","41.7","4","5","36.6","29.4","4","1807.29","3579","0","Male","Positive"
"87","0","5.0","10","True","0.333333333","3.4","2","41","3.4","23.0","44.6","14.2","46.8","5","15.0","111.93","48","25.1","17.0","39.2","4","1","35.2","27.8","1","1862.75","2442","0","Male","Positive"
"89","0","5.0","2","True","0.6","1.8","1","44","1.8","6.0","10.0","3.6","72.2","3","4.0","136.59","31","62.4","6.7","20.7","5","0","0.0","12.9","1","512.69","263","0","Female","Positive"
"90","0","5.0","3","True","0.353333333","2.1","1","39","2.1","14.0","32.7","13.2","46.2","4","18.0","62.16","91","47.9","12.0","35.8","5","5","45.1","26.4","3","1308.33","1454","0","Female","Positive"
"91","0","5.0","4","True","0.533333333","2.5","1","49","2.5","14.0","37.1","9.7","36.0","4","19.5","103.66","20","31.08","9.9","30.9","7","4","28.7","20.9","2","1442.5","1957","0","Female","Positive"
"98","0","5.0","1","True","0.205","2.5","1","38","2.5","18.0","34.4","12.7","45.7","5","19.5","241.2","13","101.52","12.1","28.1","8","3","45.6","25.2","1","3184.95","798","1","Female","Positive"
"99","0","5.0","2","True","0.36","2.8","2","35","2.8","21.0","40.1","14.1","42.0","9","26.0","55.46","42","19.8","5.5","41.7","3","3","49.2","34.2","1","1467.19","5993","0","Male","Positive"
"101","0","5.0","4","True","0.153289474","4.0","2","32","4.0","1.0","13.3","5.0","73.1","2","15.6","96.04","2","57.84","4.7","14.9","3","2","4.5","5.8","1","1272.3","1013","0","female","Positive"
"104","2","3.0","7","True","0.38034188","1.2","0","36","1.2","10.0","17.3","2.8","62.2","1","6.0","225.02","32","75.4","8.8","21.6","7","3","0.6","2.4","1","1160.54","2249","0","Male","Positive"
"105","0","5.0","8","True","0.444444444","3.4","2","42","3.4","7.0","25.9","12.2","62.5","4","10.0","150.38","24","71.3","7.0","23.3","2","2","4.7","18.9","2","1345.57","2656","0","Male","Positive"
"108","0","5.0","1","False","0.6","2.7","2","41","2.7","20.0","34.0","12.1","46.0","8","20.0","78.31","80","22.8","5.1","37.4","4","5","35.4","26.5","3","1834.24","3422","0","Male","Positive"
"111","0","5.0","1","True","0.8","4.1","2","37","4.1","13.0","36.1","10.4","48.0","4","13.0","100.29","76","18.1","18.7","39.3","5","4","59.8","27.7","2","1082.06","2598","0","Female","Positive"
"113","0","5.0","2","True","0.4275","0.8","0","67","0.8","27.0","33.5","14.4","39.5","9","19.0","86.61","14","36.8","3.1","27.1","2","6","35.9","28.8","2","1638.41","2416","0","Female","Positive"
"117","0","5.0","6","True","0.533333333","1.1","0","23","1.1","12.0","31.6","13.1","45.1","2","17.0","104.81","66","50.0","6.7","37.8","5","9","37.8","26.8","3","1495.49","2757","0","male","Positive"
"118","0","5.0","7","True","0.3","1.7","1","51","1.7","8.0","24.0","6.5","51.5","5","12.0","125.34","34","55.7","3.1","37.8","3","1","69.0","11.5","2","1651.78","1607","0","Female","Positive"
"119","0","5.0","8","True","0.6","2.1","1","47","2.1","9.0","16.3","5.1","62.3","5","6.0","121.45","1","21.6","2.7","12.8","8","2","10.0","15.5","1","725.92","3482","0","Female","Positive"
"126","0","5.0","5","True","0.392857143","0.9","0","26","0.9","10.0","26.9","6.9","67.8","2","6.0","79.12","11","26.7","6.4","2.2","4","3","13.1","11.2","3","468.91","0","0","Other","Positive"
"131","0","3.0","10","True","0.7","0.8","0","38","0.8","10.0","13.4","7.5","80.6","3","5.0","83.66","34","46.5","7.3","20.4","8","0","0.0","0.5","3","426.96","382","0","Male","Positive"
"133","6","5.0","2","True","0.368183422","3.4","2","43","3.4","13.0","26.6","11.2","63.1","4","8.0","96.62","65","30.3","6.7","6.3","5","3","29.4","19.4","2","824.37","1549","0","Male","Positive"
"139","0","3.0","8","True","0.116666667","0.6","0","23","0.6","8.0","29.6","8.5","37.2","5","19.5","248.53","6","39.96","0.7","34.9","4","3","27.9","33.2","2","3319.56","4041","1","Female","Positive"
"141","0","5.0","10","True","0.199371462","1.5","0","53","1.5","18.0","23.8","9.4","70.3","2","7.0","104.72","61","16.2","9.1","0.0","10","1","14.0","8.8","1","709.07","1653","1","Female","Positive"
"142","0","5.0","1","True","0.391071429","1.9","1","18","1.9","8.0","18.1","1.2","70.5","0","2.0","220.17","5","76.6","8.4","2.3","6","1","0.0","13.5","2","433.88","1658","1","Female","Positive"
"148","2","5.0","1","True","0.247619048","3.7","2","44","3.7","7.0","20.6","4.9","59.1","3","10.4","128.84","8","70.08","10.8","7.2","8","1","0.3","17.1","2","1145.79","0","0","Male","Positive"
"150","0","4.0","3","True","0.533333333","1.2","0","41","1.2","5.0","13.5","6.8","63.1","5","7.0","76.06","42","61.5","9.0","23.9","8","3","45.6","2.2","5","428.69","885","0","Male","Positive"
"151","0","5.0","4","True","0.8","4.7","2","42","4.7","3.0","17.7","7.4","59.2","1","7.8","178.42","5","20.28","1.1","3.6","10","3","8.5","16.9","2","1022.78","1549","0","Male","Positive"
"154","0","3.0","7","True","0.103348214","2.4","1","41","2.4","0.0","2.6","1.0","63.3","0","4.0","86.29","27","31.6","6.2","1.2","8","0","6.7","9.4","2","278.08","0","1","Female","Positive"
"157","0","5.0","10","True","0.4","5.2","2","43","5.2","18.0","25.9","7.0","65.4","2","4.0","220.22","23","30.8","2.8","23.3","5","2","47.5","13.0","4","849.48","2737","0","Male","Positive"
"161","0","4.0","4","True","0.466666667","2.4","1","47","2.4","6.0","18.8","5.1","81.3","1","6.0","80.79","2","34.0","6.4","4.9","8","1","25.3","19.0","1","538.51","1101","0","Male","Positive"
"167","0","4.0","10","True","0.375","1.1","0","60","1.1","4.0","17.3","8.4","60.9","7","16.9","69.26","6","16.92","10.6","12.3","3","1","14.9","19.4","2","823.46","301","0","Male","Positive"
"169","0","5.0","2","True","0.387142857","0.8","0","28","0.8","0.0","18.7","7.2","58.6","2","13.0","81.19","2","58.1","22.8","6.3","4","3","0.0","7.2","2","1250.79","1058","0","Male","Positive"
"172","0","4.0","5","True","0.39","2.2","1","37","2.2","16.0","25.8","9.2","46.1","3","14.0","145.64","51","17.9","25.6","36.4","7","2","19.1","13.0","1","2251.89","2150","1","Male","Positive"
"175","0","3.0","8","True","-0.064285714","1.0","0","47","1.0","8.0","25.7","6.7","37.5","8","16.0","106.33","37","46.8","4.5","12.0","9","1","56.6","25.8","1","2012.61","2365","1","Female","Neutral"
"177","3","1.0","10","True","0.1","1.3","0","55","1.3","13.0","13.4","5.4","49.8","0","7.0","160.95","21","44.5","5.7","5.4","4","2","0.0","8.7","3","1078.29","1191","0","Male","Neutral"
"181","0","5.0","4","True","0.7","2.7","2","27","2.7","12.0","19.7","13.1","70.2","1","8.0","137.98","62","83.8","2.9","21.2","5","2","36.8","7.2","2","1017.04","271","0","Female","Positive"
"186","0","5.0","9","True","0.0","1.3","0","43","1.3","1.0","17.1","5.8","69.7","2","6.0","133.96","18","14.7","0.8","12.0","5","3","10.1","10.9","1","679.44","1334","0","Female","Neutral"
"188","0","5.0","1","True","0.625","10.0","2","27","10.0","16.0","36.5","15.4","50.9","4","14.0","186.92","10","58.2","6.0","18.7","3","4","22.1","17.2","2","2747.81","1057","0","Female","Positive"
"190","0","5.0","2","True","0.5","0.1","0","32","0.1","14.0","32.2","6.7","42.5","3","27.0","85.25","7","13.3","7.1","19.6","4","7","33.4","23.8","2","2109.93","2378","0","Male","Positive"
"194","0","5.0","6","True","0.6","3.5","2","40","3.5","24.0","59.9","16.3","12.7","11","25.0","170.39","19","65.3","15.9","44.9","0","7","80.2","34.0","1","4153.66","4414","0","Female","Positive"
"196","0","5.0","8","True","0.58","0.4","0","27","0.4","6.0","16.8","8.4","57.7","1","9.1","102.95","21","61.68","6.6","6.1","4","1","14.1","15.9","2","853.07","0","0","Male","Positive"
"203","0","5.0","5","True","0.7","9.0","2","50","9.0","14.0","30.1","12.6","44.4","6","14.0","74.87","2","58.1","2.0","26.7","6","2","27.8","23.2","1","867.75","2214","0","Male","Positive"
"204","0","5.0","6","True","0.75","0.9","0","21","0.9","16.0","27.9","10.2","82.1","5","9.0","133.08","23","68.9","10.2","0.0","11","3","2.9","10.0","1","1258.94","1838","1","Male","Positive"
"209","0","5.0","1","True","0.653571429","1.0","0","75","1.0","6.0","28.3","4.9","60.4","2","11.0","62.36","78","27.6","12.7","33.5","4","1","5.9","16.0","4","595.05","3097","0","Male","Positive"
"210","0","5.0","2","True","0.355555556","3.7","2","44","3.7","26.0","49.3","11.2","49.3","9","16.0","117.68","66","39.7","0.8","45.5","3","4","68.0","31.7","2","1652.01","2761","0","Female","Positive"
"211","2","5.0","3","True","0.483333333","2.4","1","51","2.4","2.0","16.2","7.9","67.1","4","6.0","59.86","12","63.2","3.9","22.2","9","3","1.8","11.4","3","288.45","1484","0","Male","Positive"
"216","0","5.0","8","True","0.344444444","3.4","2","28","3.4","10.0","37.0","11.1","24.5","7","15.0","114.67","62","50.4","1.1","28.9","5","7","27.7","27.1","1","1537.02","2365","0","Male","Positive"
"222","0","4.0","4","True","0.425","2.4","1","46","2.4","10.0","15.6","2.1","78.9","1","14.3","264.62","20","43.92","4.0","20.9","8","1","20.6","8.5","2","2953.83","938","1","Male","Positive"
"224","0","5.0","6","True","0.466666667","2.8","2","32","2.8","8.0","25.9","11.8","41.7","5","30.0","118.81","112","40.6","0.9","18.5","3","2","25.0","20.0","1","3606.75","3072","0","Male","Positive"
"225","0","5.0","7","True","0.416666667","3.1","2","51","3.1","4.0","26.5","10.8","48.4","2","9.0","105.01","4","30.4","8.4","13.4","10","4","9.8","16.7","2","1033.49","1250","0","Female","Positive"
"227","0","5.0","9","True","0.216666667","3.4","2","25","3.4","3.0","15.1","7.5","55.4","1","13.0","121.69","95","74.64","1.9","19.5","4","3","34.7","21.8","3","1352.64","2510","0","Male","Positive"
"228","0","5.0","10","True","0.511111111","3.7","2","29","3.7","7.0","32.1","4.3","58.5","8","8.0","160.08","23","85.4","3.6","16.8","5","5","15.1","17.7","2","1510.0","1257","0","Female","Positive"
"231","4","4.0","3","True","0.131632653","6.5","2","40","6.5","20.0","35.9","11.7","49.2","6","14.0","136.75","7","7.4","9.1","34.9","4","3","59.7","21.6","5","2062.98","3812","0","Male","Positive"
"232","0","5.0","4","True","-0.114583333","2.7","2","38","2.7","23.0","22.0","10.9","51.3","9","14.0","112.92","12","16.5","3.0","27.1","5","2","39.8","16.6","5","1796.47","2324","0","Female","Negative"
"234","0","5.0","6","True","0.8","4.8","2","63","4.8","7.0","20.3","9.7","52.9","2","11.7","105.07","134","53.28","4.2","0.0","9","1","26.2","2.3","1","768.71","1220","1","Male","Positive"
"237","0","5.0","9","True","0.38","2.8","2","40","2.8","8.0","18.4","4.5","54.2","5","9.0","190.55","79","30.2","14.6","3.8","5","1","2.8","7.8","2","1407.36","342","0","Female","Positive"
"239","0","5.0","1","True","0.394047619","7.4","2","48","7.4","4.0","25.7","3.5","96.2","1","2.0","67.68","57","34.1","9.1","4.1","11","1","0.0","7.3","2","155.09","1820","1","Female","Positive"
"240","0","5.0","2","True","0.096536797","2.3","1","28","2.3","19.0","41.2","7.7","65.7","7","19.5","105.5","48","42.96","6.9","43.4","8","5","19.6","35.5","1","1658.7","3266","0","Female","Neutral"
"246","0","3.0","8","True","0.55","3.4","2","32","3.4","34.0","42.5","17.8","21.5","9","21.0","92.24","29","63.0","5.2","54.3","3","7","72.1","36.9","3","1976.14","2973","0","Female","Positive"
"247","0","5.0","9","True","0.0","5.2","2","30","5.2","7.0","26.9","5.3","73.9","5","10.4","227.67","51","65.28","8.3","16.9","8","1","19.8","19.4","2","2115.26","1199","1","Female","Neutral"
"249","0","5.0","1","True","0.5","2.7","2","42","2.7","25.0","49.0","15.1","20.7","6","29.9","276.45","20","62.04","5.9","18.8","0","5","58.8","23.8","1","6014.45","3734","0","Male","Positive"
"250","0","5.0","1","True","0.52","0.9","0","22","0.9","13.0","37.3","12.0","52.0","9","21.0","73.79","17","17.6","9.9","48.2","6","2","50.9","27.6","2","1615.4","2181","1","Female","Positive"
"252","0","4.0","3","True","0.15","4.8","2","63","4.8","11.0","33.6","7.8","62.6","7","18.2","98.03","6","11.4","13.9","18.0","3","4","51.3","12.8","2","1355.41","2330","0","Male","Positive"
"255","0","3.0","6","True","0.291666667","7.3","2","32","7.3","2.0","22.2","9.4","62.0","0","9.1","111.77","0","86.04","5.5","15.9","6","2","8.7","12.9","2","859.59","428","0","Female","Positive"
"260","0","5.0","1","True","0.408333333","1.9","1","26","1.9","7.0","21.9","6.3","61.3","2","7.0","89.4","9","81.6","5.2","12.7","8","1","17.5","10.1","1","647.51","1213","0","Female","Positive"
"265","0","5.0","6","True","0.0","4.5","2","23","4.5","4.0","14.3","6.0","85.4","2","6.5","160.49","30","74.76","1.8","17.5","3","1","9.2","14.9","2","678.23","0","1","Male","Neutral"
"266","0","5.0","7","True","0.3","9.7","2","57","9.7","3.0","18.4","11.0","67.4","3","9.0","115.64","2","24.0","5.0","15.1","5","6","0.0","9.2","4","958.64","1610","0","Female","Positive"
"275","0","5.0","6","True","0.0","2.1","1","43","2.1","9.0","20.5","4.1","59.1","2","4.0","75.58","20","40.1","6.5","4.4","3","0","0.0","10.4","2","273.08","1597","0","Female","Neutral"
"276","0","1.0","7","True","0.1","2.4","1","40","2.4","20.0","37.7","13.2","39.2","6","18.0","178.7","19","48.4","3.2","31.2","4","7","41.6","29.2","2","2925.35","3609","0","Female","Neutral"
"278","2","4.0","9","True","-0.022222222","2.0","1","38","2.0","3.0","9.4","4.8","54.4","0","3.0","91.96","5","50.2","6.5","13.7","9","0","22.8","0.8","2","301.49","1629","0","Male","Neutral"
"285","0","5.0","6","True","0.5","2.7","2","18","2.7","16.0","24.7","11.0","38.0","1","7.0","120.92","25","63.1","9.3","24.2","7","2","0.0","17.5","3","907.54","1938","0","Male","Positive"
"286","0","2.0","7","True","0.1","2.2","1","36","2.2","8.0","17.8","4.5","43.0","2","6.0","67.65","24","78.2","0.5","0.0","7","1","34.4","32.9","2","386.83","1661","0","Male","Neutral"
"287","0","5.0","8","True","0.25","4.2","2","45","4.2","12.0","19.7","5.2","59.9","4","4.0","94.25","0","39.2","5.4","11.1","8","1","28.4","13.1","2","344.57","1052","0","Male","Positive"
"289","0","3.0","10","True","0.55","1.5","0","30","1.5","3.0","22.4","4.3","68.0","2","4.0","91.21","8","63.7","2.7","5.6","8","3","0.0","10.5","1","402.78","427","0","Male","Positive"
"291","0","5.0","2","True","0.234353741","2.2","1","32","2.2","1.0","27.2","3.6","80.2","3","6.5","175.65","7","23.28","2.4","12.0","8","0","33.9","13.1","3","869.59","790","1","Female","Positive"
"292","0","4.0","3","True","0.0","3.1","2","30","3.1","28.0","31.9","13.1","30.4","5","23.0","89.69","25","3.3","10.2","22.8","8","4","59.9","28.0","1","2266.61","1859","1","Male","Neutral"
"294","0","5.0","5","True","0.2","8.8","2","42","8.8","39.0","69.1","20.9","1.3","10","37.7","79.85","23","44.4","0.6","61.0","1","7","84.4","48.5","2","2659.41","4963","0","Female","Positive"
"296","0","1.0","7","True","-0.2","5.2","2","48","5.2","0.0","13.9","5.6","73.5","2","4.0","77.48","28","32.3","6.2","2.6","4","1","0.0","14.5","2","292.9","1551","1","Female","Negative"
"298","0","4.0","9","True","0.377777778","2.0","1","47","2.0","5.0","24.8","9.8","64.1","5","8.0","120.0","13","55.3","8.8","24.5","10","2","20.0","27.9","2","987.61","3187","0","Female","Positive"
"299","0","4.0","10","True","-0.7","1.2","0","45","1.2","0.0","19.0","1.0","79.3","2","6.5","87.42","42","54.24","0.3","18.4","8","0","0.0","9.9","3","499.21","0","1","Female","Negative"
"301","0","5.0","2","True","0.5875","1.0","0","31","1.0","12.0","10.9","7.5","73.4","5","6.0","254.81","15","61.7","9.8","0.0","4","1","0.0","23.9","4","1822.31","1772","0","Male","Positive"
"306","0","5.0","7","True","0.6","1.3","0","53","1.3","10.0","19.2","3.5","70.8","1","4.0","51.84","4","19.8","4.7","13.2","8","0","13.4","20.2","2","182.4","1065","0","Female","Positive"
"307","0","5.0","8","True","0.566666667","1.8","1","30","1.8","0.0","13.7","7.6","70.2","0","5.0","140.96","26","28.4","4.9","0.0","7","0","3.7","12.0","1","604.46","1606","1","Male","Positive"
"311","2","5.0","2","True","0.8","0.249093093","0","51","0.249093093","16.0","31.4","7.4","66.7","8","66.0","71.92","15","9.9","81.51353276","24.0","3","1","38.5","16.0","1","575.58","1384","0","Female","Positive"
"315","3","1.0","6","True","0.05","2.9","2","38","2.9","25.0","31.9","11.6","45.2","4","19.5","52.49","11","25.92","2.3","35.9","7","8","32.0","23.0","1","788.39","2496","0","Female","Neutral"
"318","0","4.0","9","True","0.5","3.0","2","41","3.0","24.0","41.2","12.0","41.6","12","21.0","80.88","5","35.6","17.3","27.0","2","3","38.7","29.4","2","1961.64","2716","0","Male","Positive"
"319","0","4.0","10","True","0.466666667","0.5","0","36","0.5","5.0","16.9","7.7","81.9","1","4.0","64.59","4","27.9","9.2","8.7","6","0","9.0","15.0","4","226.45","173","1","Female","Positive"
"321","0","5.0","2","True","0.310416667","4.6","2","45","4.6","15.0","30.5","8.7","53.6","5","11.0","90.67","26","30.3","8.5","19.9","8","3","24.9","14.7","2","990.71","2475","0","Female","Positive"
"323","19","5.0","4","True","0.278686224","4.7","2","63","4.7","12.0","27.0","4.0","84.9","6","9.0","77.94","58","38.4","1.6","8.0","5","2","28.8","17.5","4","587.19","2324","1","Female","Positive"
"326","11","5.0","7","True","0.271323529","2.9","2","51","2.9","30.0","42.2","15.1","30.1","15","22.0","63.49","10","75.1","1.0","35.7","1","6","67.7","45.7","2","1565.18","3532","1","Female","Positive"
"327","15","5.0","8","True","0.220178571","1.8","1","47","1.8","16.0","41.1","14.8","59.1","3","21.0","214.41","22","41.8","7.5","30.9","6","5","45.9","32.8","4","4963.9","4553","1","Male","Positive"
"330","0","5.0","1","True","0.358367347","4.0","2","37","4.0","14.0","32.3","9.3","49.2","3","12.0","67.45","5","57.7","13.6","21.5","3","3","27.7","21.2","1","654.16","3521","0","Male","Positive"
"331","0","5.0","2","True","0.4","3.1","2","27","3.1","5.0","22.6","9.7","61.6","1","10.4","100.57","3","95.28","8.4","2.7","6","0","30.8","17.3","1","861.75","1561","0","Other","Positive"
"337","0","5.0","6","True","0.466666667","4.5","2","34","4.5","17.0","45.0","13.0","65.9","6","18.0","152.88","41","43.0","4.5","28.6","4","4","50.4","25.0","2","2270.99","3236","0","Male","Positive"
"342","0","5.0","1","True","0.5","5.1","2","40","5.1","26.0","28.9","7.9","47.2","4","14.0","133.12","71","58.0","1.0","6.0","6","1","0.0","12.7","2","1736.6","2890","0","Male","Positive"
"350","0","3.0","9","True","0.0","1.8","1","41","1.8","23.0","37.2","9.2","41.0","5","20.0","77.55","1","49.2","4.9","41.1","5","7","53.2","35.2","2","1448.81","3181","0","Female","Neutral"
"351","0","4.0","10","False","0.316666667","1.2","0","55","1.2","4.0","21.4","7.0","80.2","3","6.0","154.01","22","33.7","10.0","15.9","9","2","6.1","16.6","2","883.47","733","0","Male","Positive"
